Município;Dose;Total Doses Aplicadas
SALTO DE PIRAPORA;2° DOSE;37544
SALTO;2° DOSE;103508
SALTINHO;2° DOSE;7302
SALMOURÃO;2° DOSE;4190
SALESÓPOLIS;2° DOSE;15240
SALES OLIVEIRA;2° DOSE;9985
SALES;2° DOSE;5656
SAGRES;2° DOSE;2113
SABINO;2° DOSE;4691
RUBINÉIA;2° DOSE;2986
RUBIÁCEA;2° DOSE;2546
ROSEIRA;2° DOSE;9031
ROSANA;2° DOSE;14707
RIVERSUL;2° DOSE;5319
RIOLÂNDIA;2° DOSE;9984
RIO GRANDE DA SERRA;2° DOSE;29351
RIO DAS PEDRAS;2° DOSE;26273
RIO CLARO;2° DOSE;172105
RINÓPOLIS;2° DOSE;7738
RINCÃO;2° DOSE;8246
RIFAINA;2° DOSE;3777
RIBEIRÃO PRETO;2° DOSE;563810
RIBEIRÃO PIRES;2° DOSE;98121
RIBEIRÃO GRANDE;2° DOSE;7215
RIBEIRÃO DOS ÍNDIOS;2° DOSE;1944
RIBEIRÃO DO SUL;2° DOSE;4198
RIBEIRÃO CORRENTE;2° DOSE;4165
RIBEIRÃO BRANCO;2° DOSE;16320
RIBEIRÃO BONITO;2° DOSE;10206
RIBEIRA;2° DOSE;3054
RESTINGA;2° DOSE;6191
REGISTRO;2° DOSE;51679
REGINÓPOLIS;2° DOSE;8568
REGENTE FEIJÓ;2° DOSE;17300
REDENÇÃO DA SERRA;2° DOSE;3623
RANCHARIA;2° DOSE;25736
RAFARD;2° DOSE;8019
QUINTANA;2° DOSE;5924
QUELUZ;2° DOSE;8015
QUEIROZ;2° DOSE;3010
QUATÁ;2° DOSE;11644
QUADRA;2° DOSE;3264
PROMISSÃO;2° DOSE;30312
PRESIDENTE VENCESLAU;2° DOSE;29983
PRESIDENTE PRUDENTE;2° DOSE;197220
PRESIDENTE EPITÁCIO;2° DOSE;33104
PRESIDENTE BERNARDES;2° DOSE;13577
PRESIDENTE ALVES;2° DOSE;3503
PRATÂNIA;2° DOSE;4997
PRAIA GRANDE;2° DOSE;281358
PRADÓPOLIS;2° DOSE;15623
PRACINHA;2° DOSE;2894
POTIRENDABA;2° DOSE;15101
POTIM;2° DOSE;19198
PORTO FERREIRA;2° DOSE;45878
PORTO FELIZ;2° DOSE;47020
PORANGABA;2° DOSE;8380
POPULINA;2° DOSE;3848
PONTES GESTAL;2° DOSE;2271
PONTALINDA;2° DOSE;3585
PONTAL;2° DOSE;33371
PONGAÍ;2° DOSE;3076
POMPÉIA;2° DOSE;17567
POLONI;2° DOSE;5382
POÁ;2° DOSE;93159
PLATINA;2° DOSE;2879
PLANALTO;2° DOSE;3999
PITANGUEIRAS;2° DOSE;29276
PIRATININGA;2° DOSE;12430
PIRASSUNUNGA;2° DOSE;61452
PIRAPOZINHO;2° DOSE;21438
PIRAPORA DO BOM JESUS;2° DOSE;15907
PIRANGI;2° DOSE;9447
PIRAJUÍ;2° DOSE;19131
PIRAJU;2° DOSE;25771
PIRACICABA;2° DOSE;349992
PIRACAIA;2° DOSE;25032
PIQUETE;2° DOSE;10994
PIQUEROBI;2° DOSE;2926
PINHALZINHO;2° DOSE;13558
PINDORAMA;2° DOSE;12654
PINDAMONHANGABA;2° DOSE;134198
PILAR DO SUL;2° DOSE;25495
PIEDADE;2° DOSE;47328
PIACATU;2° DOSE;4823
PERUÍBE;2° DOSE;64143
PEREIRAS;2° DOSE;7173
PEREIRA BARRETO;2° DOSE;21031
PENÁPOLIS;2° DOSE;51545
PEDRO DE TOLEDO;2° DOSE;8754
PEDRINHAS PAULISTA;2° DOSE;2640
PEDREIRA;2° DOSE;38775
PEDREGULHO;2° DOSE;14105
PEDRANÓPOLIS;2° DOSE;2569
PEDRA BELA;2° DOSE;5899
PEDERNEIRAS;2° DOSE;37277
PAULO DE FARIA;2° DOSE;7568
PAULISTÂNIA;2° DOSE;1838
PAULÍNIA;2° DOSE;90153
PAULICÉIA;2° DOSE;6343
PATROCÍNIO PAULISTA;2° DOSE;12707
PARISI;2° DOSE;2416
PARIQUERA-AÇU;2° DOSE;17454
PARDINHO;2° DOSE;6188
PARAPUÃ;2° DOSE;9050
PARANAPUÃ;2° DOSE;3761
PARANAPANEMA;2° DOSE;17135
PARAÍSO;2° DOSE;5106
PARAIBUNA;2° DOSE;15153
PARAGUAÇU PAULISTA;2° DOSE;36506
PANORAMA;2° DOSE;12175
PALMITAL;2° DOSE;18778
PALMEIRA D'OESTE;2° DOSE;8241
PALMARES PAULISTA;2° DOSE;8347
PALESTINA;2° DOSE;9619
PACAEMBU;2° DOSE;13769
OUROESTE;2° DOSE;9076
OURO VERDE;2° DOSE;6619
OURINHOS;2° DOSE;88351
OSVALDO CRUZ;2° DOSE;27720
OSCAR BRESSANE;2° DOSE;2320
OSASCO;2° DOSE;622739
ORLÂNDIA;2° DOSE;33516
ORINDIÚVA;2° DOSE;5604
ORIENTE;2° DOSE;5467
ONDA VERDE;2° DOSE;4087
OLÍMPIA;2° DOSE;48717
ÓLEO;2° DOSE;2628
OCAUÇU;2° DOSE;3965
NUPORANGA;2° DOSE;6516
NOVO HORIZONTE;2° DOSE;33467
NOVAIS;2° DOSE;3626
NOVA ODESSA;2° DOSE;47865
NOVA LUZITÂNIA;2° DOSE;2549
NOVA INDEPENDÊNCIA;2° DOSE;4979
NOVA GUATAPORANGA;2° DOSE;2046
NOVA GRANADA;2° DOSE;17416
NOVA EUROPA;2° DOSE;8296
NOVA CASTILHO;2° DOSE;1017
NOVA CANAÃ PAULISTA;2° DOSE;1806
NOVA CAMPINA;2° DOSE;8032
NOVA ALIANÇA;2° DOSE;6182
NIPOÃ;2° DOSE;4193
NHANDEARA;2° DOSE;8965
NEVES PAULISTA;2° DOSE;8333
NAZARÉ PAULISTA;2° DOSE;15756
NATIVIDADE DA SERRA;2° DOSE;5808
NARANDIBA;2° DOSE;4894
NÃO INFORMADO;2° DOSE;127685
NANTES;2° DOSE;2434
MURUTINGA DO SUL;2° DOSE;3473
MOTUCA;2° DOSE;3750
MORUNGABA;2° DOSE;12480
MORRO AGUDO;2° DOSE;24108
MONTEIRO LOBATO;2° DOSE;3799
MONTE MOR;2° DOSE;52822
MONTE CASTELO;2° DOSE;3580
MONTE AZUL PAULISTA;2° DOSE;15938
MONTE APRAZÍVEL;2° DOSE;19355
MONTE ALTO;2° DOSE;41695
MONTE ALEGRE DO SUL;2° DOSE;6658
MONGAGUÁ;2° DOSE;49918
MONÇÕES;2° DOSE;1857
MOMBUCA;2° DOSE;3359
MOGI MIRIM;2° DOSE;80837
MOGI GUAÇU;2° DOSE;125627
MOGI DAS CRUZES;2° DOSE;365384
MOCOCA;2° DOSE;60290
MIRASSOLÂNDIA;2° DOSE;4486
MIRASSOL;2° DOSE;51617
MIRANTE DO PARANAPANEMA;2° DOSE;13723
MIRANDÓPOLIS;2° DOSE;24598
MIRACATU;2° DOSE;16420
MIRA ESTRELA;2° DOSE;2732
MINEIROS DO TIETÊ;2° DOSE;9975
MIGUELÓPOLIS;2° DOSE;17028
MESÓPOLIS;2° DOSE;1912
MERIDIANO;2° DOSE;3756
MENDONÇA;2° DOSE;5561
MAUÁ;2° DOSE;349109
MATÃO;2° DOSE;72242
MARTINÓPOLIS;2° DOSE;22515
MARINÓPOLIS;2° DOSE;1748
MARÍLIA;2° DOSE;198263
MARIÁPOLIS;2° DOSE;3159
MARAPOAMA;2° DOSE;2815
MARACAÍ;2° DOSE;11343
MARABÁ PAULISTA;2° DOSE;4503
MANDURI;2° DOSE;8801
MAIRIPORÃ;2° DOSE;76714
MAIRINQUE;2° DOSE;46010
MAGDA;2° DOSE;2838
MACEDÔNIA;2° DOSE;3494
MACAUBAL;2° DOSE;6656
MACATUBA;2° DOSE;14173
LUTÉCIA;2° DOSE;2382
LUPÉRCIO;2° DOSE;3595
LUIZIÂNIA;2° DOSE;4344
LUÍS ANTÔNIO;2° DOSE;10679
LUCIANÓPOLIS;2° DOSE;2331
LUCÉLIA;2° DOSE;17759
LOUVEIRA;2° DOSE;44690
LOURDES;2° DOSE;2020
LORENA;2° DOSE;68701
LINS;2° DOSE;64051
LINDÓIA;2° DOSE;6196
LIMEIRA;2° DOSE;239530
LENÇÓIS PAULISTA;2° DOSE;55325
LEME;2° DOSE;84181
LAVRINHAS;2° DOSE;5338
LAVÍNIA;2° DOSE;10483
LARANJAL PAULISTA;2° DOSE;24613
LAGOINHA;2° DOSE;5019
JUQUITIBA;2° DOSE;26344
JUQUIÁ;2° DOSE;14855
JUNQUEIRÓPOLIS;2° DOSE;17932
JUNDIAÍ;2° DOSE;376774
JUMIRIM;2° DOSE;3092
JÚLIO MESQUITA;2° DOSE;3814
JOSÉ BONIFÁCIO;2° DOSE;31151
JOÃO RAMALHO;2° DOSE;3780
JOANÓPOLIS;2° DOSE;11545
JERIQUARA;2° DOSE;3164
JAÚ;2° DOSE;111243
JARINU;2° DOSE;29483
JARDINÓPOLIS;2° DOSE;36881
JANDIRA;2° DOSE;97424
JAMBEIRO;2° DOSE;5136
JALES;2° DOSE;41651
JAGUARIÚNA;2° DOSE;51323
JACUPIRANGA;2° DOSE;13133
JACI;2° DOSE;6913
JACAREÍ;2° DOSE;194555
JABOTICABAL;2° DOSE;63443
JABORANDI;2° DOSE;5489
ITUVERAVA;2° DOSE;32313
ITUPEVA;2° DOSE;56170
ITU;2° DOSE;150947
ITOBI;2° DOSE;6616
ITIRAPUÃ;2° DOSE;5320
ITIRAPINA;2° DOSE;14834
ITATINGA;2° DOSE;16906
ITATIBA;2° DOSE;99321
ITARIRI;2° DOSE;12381
ITARARÉ;2° DOSE;40015
ITAQUAQUECETUBA;2° DOSE;289231
ITAPURA;2° DOSE;3509
ITAPUÍ;2° DOSE;11281
ITAPORANGA;2° DOSE;12915
ITÁPOLIS;2° DOSE;33943
ITAPIRAPUÃ PAULISTA;2° DOSE;3985
ITAPIRA;2° DOSE;63589
ITAPEVI;2° DOSE;190672
ITAPEVA;2° DOSE;81185
ITAPETININGA;2° DOSE;131947
ITAPECERICA DA SERRA;2° DOSE;135010
ITAOCA;2° DOSE;3242
ITANHAÉM;2° DOSE;95618
ITAJU;2° DOSE;2970
ITAJOBI;2° DOSE;14282
ITAÍ;2° DOSE;23401
ITABERÁ;2° DOSE;16478
IRAPURU;2° DOSE;6954
IRAPUÃ;2° DOSE;6161
IRACEMÁPOLIS;2° DOSE;18958
IPUÃ;2° DOSE;12711
IPORANGA;2° DOSE;3417
IPIGUÁ;2° DOSE;5192
IPEÚNA;2° DOSE;5463
IPERÓ;2° DOSE;28357
IPAUSSU;2° DOSE;11496
INÚBIA PAULISTA;2° DOSE;3266
INDIAPORÃ;2° DOSE;3718
INDIANA;2° DOSE;4257
INDAIATUBA;2° DOSE;226898
ILHABELA;2° DOSE;33902
ILHA SOLTEIRA;2° DOSE;23115
ILHA COMPRIDA;2° DOSE;11600
IGUAPE;2° DOSE;25165
IGARATÁ;2° DOSE;9841
IGARAPAVA;2° DOSE;22547
IGARAÇU DO TIETÊ;2° DOSE;19907
IEPÊ;2° DOSE;6959
ICÉM;2° DOSE;6825
IBIÚNA;2° DOSE;65594
IBITINGA;2° DOSE;49259
IBIRAREMA;2° DOSE;5786
IBIRÁ;2° DOSE;10313
IBATÉ;2° DOSE;28661
IARAS;2° DOSE;7987
IACRI;2° DOSE;5564
IACANGA;2° DOSE;9609
HORTOLÂNDIA;2° DOSE;194736
HOLAMBRA;2° DOSE;14031
HERCULÂNDIA;2° DOSE;7177
GUZOLÂNDIA;2° DOSE;4021
GUATAPARÁ;2° DOSE;6762
GUARULHOS;2° DOSE;1095432
GUARUJÁ;2° DOSE;246393
GUARIBA;2° DOSE;32700
GUAREÍ;2° DOSE;13443
GUARATINGUETÁ;2° DOSE;99099
GUARAREMA;2° DOSE;27940
GUARARAPES;2° DOSE;26742
GUARANTÃ;2° DOSE;5443
GUARANI D'OESTE;2° DOSE;1855
GUARACI;2° DOSE;9053
GUARAÇAÍ;2° DOSE;6677
GUARÁ;2° DOSE;16462
GUAPIARA;2° DOSE;15494
GUAPIAÇU;2° DOSE;18398
GUAÍRA;2° DOSE;35219
GUAIMBÊ;2° DOSE;4787
GUAIÇARA;2° DOSE;9872
GLICÉRIO;2° DOSE;3789
GETULINA;2° DOSE;9206
GENERAL SALGADO;2° DOSE;8966
GAVIÃO PEIXOTO;2° DOSE;4320
GASTÃO VIDIGAL;2° DOSE;3068
GARÇA;2° DOSE;35862
GÁLIA;2° DOSE;6008
GABRIEL MONTEIRO;2° DOSE;2543
FRANCO DA ROCHA;2° DOSE;130440
FRANCISCO MORATO;2° DOSE;143215
FRANCA;2° DOSE;287038
FLORÍNEA;2° DOSE;4142
FLÓRIDA PAULISTA;2° DOSE;10666
FLOREAL;2° DOSE;2633
FLORA RICA;2° DOSE;1391
FERRAZ DE VASCONCELOS;2° DOSE;135652
FERNÃO;2° DOSE;1596
FERNANDÓPOLIS;2° DOSE;62417
FERNANDO PRESTES;2° DOSE;5415
FARTURA;2° DOSE;14099
EUCLIDES DA CUNHA PAULISTA;2° DOSE;6753
ESTRELA DO NORTE;2° DOSE;2470
ESTRELA D'OESTE;2° DOSE;7790
ESTIVA GERBI;2° DOSE;9067
ESPÍRITO SANTO DO TURVO;2° DOSE;4269
ESPÍRITO SANTO DO PINHAL;2° DOSE;35867
ENGENHEIRO COELHO;2° DOSE;16460
EMILIANÓPOLIS;2° DOSE;2715
EMBU-GUAÇU;2° DOSE;56066
EMBU DAS ARTES;2° DOSE;218020
EMBAÚBA;2° DOSE;2001
ELISIÁRIO;2° DOSE;2869
ELIAS FAUSTO;2° DOSE;15433
ELDORADO;2° DOSE;11200
ECHAPORÃ;2° DOSE;5609
DUMONT;2° DOSE;8809
DUARTINA;2° DOSE;11246
DRACENA;2° DOSE;39004
DOURADO;2° DOSE;7873
DOLCINÓPOLIS;2° DOSE;2224
DOIS CÓRREGOS;2° DOSE;21295
DOBRADA;2° DOSE;7285
DIVINOLÂNDIA;2° DOSE;10855
DIRCE REIS;2° DOSE;1592
DIADEMA;2° DOSE;349752
DESCALVADO;2° DOSE;28744
CUNHA;2° DOSE;19072
CUBATÃO;2° DOSE;92777
CRUZEIRO;2° DOSE;66146
CRUZÁLIA;2° DOSE;1933
CRISTAIS PAULISTA;2° DOSE;7760
CRAVINHOS;2° DOSE;29428
COTIA;2° DOSE;212037
COSMORAMA;2° DOSE;7678
COSMÓPOLIS;2° DOSE;46762
CORUMBATAÍ;2° DOSE;3659
CORONEL MACEDO;2° DOSE;4251
COROADOS;2° DOSE;4745
CORDEIRÓPOLIS;2° DOSE;21529
CONCHAS;2° DOSE;14029
CONCHAL;2° DOSE;23941
COLÔMBIA;2° DOSE;6048
COLINA;2° DOSE;15514
CLEMENTINA;2° DOSE;6206
CHAVANTES;2° DOSE;10459
CHARQUEADA;2° DOSE;14124
CESÁRIO LANGE;2° DOSE;15771
CERQUILHO;2° DOSE;40109
CERQUEIRA CÉSAR;2° DOSE;20544
CEDRAL;2° DOSE;9095
CATIGUÁ;2° DOSE;6480
CATANDUVA;2° DOSE;99616
CASTILHO;2° DOSE;16949
CÁSSIA DOS COQUEIROS;2° DOSE;2502
CASA BRANCA;2° DOSE;24226
CARDOSO;2° DOSE;10557
CARAPICUÍBA;2° DOSE;332670
CARAGUATATUBA;2° DOSE;106607
CAPIVARI;2° DOSE;43548
CAPELA DO ALTO;2° DOSE;20265
CAPÃO BONITO;2° DOSE;40511
CANITAR;2° DOSE;4524
CÂNDIDO RODRIGUES;2° DOSE;2667
CÂNDIDO MOTA;2° DOSE;25491
CANAS;2° DOSE;3735
CANANÉIA;2° DOSE;11133
CAMPOS NOVOS PAULISTA;2° DOSE;4173
CAMPOS DO JORDÃO;2° DOSE;45203
CAMPO LIMPO PAULISTA;2° DOSE;66276
CAMPINAS;2° DOSE;1007920
CAMPINA DO MONTE ALEGRE;2° DOSE;5543
CAJURU;2° DOSE;20275
CAJOBI;2° DOSE;8268
CAJATI;2° DOSE;24352
CAJAMAR;2° DOSE;80856
CAIUÁ;2° DOSE;6609
CAIEIRAS;2° DOSE;80971
CAIABU;2° DOSE;3306
CAFELÂNDIA;2° DOSE;14099
CACONDE;2° DOSE;15435
CACHOEIRA PAULISTA;2° DOSE;25192
CAÇAPAVA;2° DOSE;78910
CABREÚVA;2° DOSE;42966
CABRÁLIA PAULISTA;2° DOSE;3842
BURITIZAL;2° DOSE;3544
BURITAMA;2° DOSE;14876
BURI;2° DOSE;17338
BROTAS;2° DOSE;20517
BRODOWSKI;2° DOSE;21206
BREJO ALEGRE;2° DOSE;2299
BRAÚNA;2° DOSE;4568
BRAGANÇA PAULISTA;2° DOSE;155112
BOTUCATU;2° DOSE;144246
BOREBI;2° DOSE;2262
BORBOREMA;2° DOSE;13028
BORACÉIA;2° DOSE;4136
BORÁ;2° DOSE;855
BOM SUCESSO DE ITARARÉ;2° DOSE;3411
BOM JESUS DOS PERDÕES;2° DOSE;20771
BOITUVA;2° DOSE;50590
BOFETE;2° DOSE;9197
BOCAINA;2° DOSE;9975
BOA ESPERANÇA DO SUL;2° DOSE;11726
BIRITIBA MIRIM;2° DOSE;25620
BIRIGUI;2° DOSE;97125
BILAC;2° DOSE;6564
BERTIOGA;2° DOSE;57031
BERNARDINO DE CAMPOS;2° DOSE;10782
BENTO DE ABREU;2° DOSE;2286
BEBEDOURO;2° DOSE;65510
BAURU;2° DOSE;318877
BATATAIS;2° DOSE;51607
BASTOS;2° DOSE;19685
BARUERI;2° DOSE;253034
BARRINHA;2° DOSE;25791
BARRETOS;2° DOSE;106915
BARRA DO TURVO;2° DOSE;6211
BARRA DO CHAPÉU;2° DOSE;4856
BARRA BONITA;2° DOSE;31077
BARIRI;2° DOSE;26080
BARBOSA;2° DOSE;5454
BARÃO DE ANTONINA;2° DOSE;3209
BANANAL;2° DOSE;8690
BÁLSAMO;2° DOSE;8193
BALBINOS;2° DOSE;4613
BADY BASSITT;2° DOSE;18101
AVARÉ;2° DOSE;79802
AVANHANDAVA;2° DOSE;10052
AVAÍ;2° DOSE;4672
AURIFLAMA;2° DOSE;11453
ATIBAIA;2° DOSE;131496
ASSIS;2° DOSE;84784
ASPÁSIA;2° DOSE;1694
ARUJÁ;2° DOSE;74320
ARTUR NOGUEIRA;2° DOSE;43742
ARIRANHA;2° DOSE;7046
AREIÓPOLIS;2° DOSE;8371
AREIAS;2° DOSE;3305
AREALVA;2° DOSE;7273
ARCO-ÍRIS;2° DOSE;1894
ARARAS;2° DOSE;112385
ARARAQUARA;2° DOSE;207857
ARAPEÍ;2° DOSE;2212
ARANDU;2° DOSE;5861
ARAMINA;2° DOSE;4875
ARAÇOIABA DA SERRA;2° DOSE;28113
ARAÇATUBA;2° DOSE;168351
ARAÇARIGUAMA;2° DOSE;18530
APIAÍ;2° DOSE;20824
APARECIDA D'OESTE;2° DOSE;3996
APARECIDA;2° DOSE;28283
ANHUMAS;2° DOSE;3567
ANHEMBI;2° DOSE;5417
ANGATUBA;2° DOSE;19765
ANDRADINA;2° DOSE;48906
ANALÂNDIA;2° DOSE;3840
AMPARO;2° DOSE;62376
AMÉRICO DE CAMPOS;2° DOSE;5179
AMÉRICO BRASILIENSE;2° DOSE;30058
AMERICANA;2° DOSE;191244
ALVINLÂNDIA;2° DOSE;2636
ÁLVARO DE CARVALHO;2° DOSE;5743
ÁLVARES MACHADO;2° DOSE;20796
ÁLVARES FLORENCE;2° DOSE;3607
ALUMÍNIO;2° DOSE;15279
ALTO ALEGRE;2° DOSE;3518
ALTINÓPOLIS;2° DOSE;14660
ALTAIR;2° DOSE;3173
ALFREDO MARCONDES;2° DOSE;4192
ALAMBARI;2° DOSE;4976
AGUDOS;2° DOSE;32719
ÁGUAS DE SÃO PEDRO;2° DOSE;3757
ÁGUAS DE SANTA BÁRBARA;2° DOSE;5527
ÁGUAS DE LINDÓIA;2° DOSE;16584
ÁGUAS DA PRATA;2° DOSE;6979
AGUAÍ;2° DOSE;29049
ADOLFO;2° DOSE;4120
ADAMANTINA;2° DOSE;30278
ZACARIAS;1° DOSE;2337
VOTUPORANGA;1° DOSE;88220
VOTORANTIM;1° DOSE;98562
VITÓRIA BRASIL;1° DOSE;1726
VISTA ALEGRE DO ALTO;1° DOSE;7243
VIRADOURO;1° DOSE;16513
VINHEDO;1° DOSE;69376
VERA CRUZ;1° DOSE;9201
VÁRZEA PAULISTA;1° DOSE;100698
VARGEM GRANDE PAULISTA;1° DOSE;45875
VARGEM GRANDE DO SUL;1° DOSE;37973
VARGEM;1° DOSE;9223
VALPARAÍSO;1° DOSE;22230
VALINHOS;1° DOSE;111931
VALENTIM GENTIL;1° DOSE;12582
URUPÊS;1° DOSE;12454
URU;1° DOSE;1316
URÂNIA;1° DOSE;7946
UNIÃO PAULISTA;1° DOSE;1548
UCHOA;1° DOSE;8969
UBIRAJARA;1° DOSE;4853
UBATUBA;1° DOSE;87659
UBARANA;1° DOSE;5147
TURMALINA;1° DOSE;1814
TURIÚBA;1° DOSE;1773
TUPI PAULISTA;1° DOSE;14990
TUPÃ;1° DOSE;58529
TUIUTI;1° DOSE;6087
TRÊS FRONTEIRAS;1° DOSE;5891
TREMEMBÉ;1° DOSE;44989
TRABIJU;1° DOSE;1630
TORRINHA;1° DOSE;8726
TORRE DE PEDRA;1° DOSE;2586
TIMBURI;1° DOSE;2508
TIETÊ;1° DOSE;34644
TERRA ROXA;1° DOSE;7236
TEODORO SAMPAIO;1° DOSE;20504
TEJUPÁ;1° DOSE;4047
TAUBATÉ;1° DOSE;276463
TATUÍ;1° DOSE;111034
TARUMÃ;1° DOSE;13358
TARABAI;1° DOSE;6337
TAQUARIVAÍ;1° DOSE;5715
TAQUARITUBA;1° DOSE;23421
TAQUARITINGA;1° DOSE;48712
TAQUARAL;1° DOSE;2513
TAPIRATIBA;1° DOSE;11583
TAPIRAÍ;1° DOSE;7578
TANABI;1° DOSE;23325
TAMBAÚ;1° DOSE;19492
TAIÚVA;1° DOSE;6048
TAIAÇU;1° DOSE;5316
TAGUAÍ;1° DOSE;11827
TACIBA;1° DOSE;5493
TABOÃO DA SERRA;1° DOSE;249779
TABATINGA;1° DOSE;13269
TABAPUÃ;1° DOSE;10591
SUZANO;1° DOSE;270286
SUZANÁPOLIS;1° DOSE;3194
SUMARÉ;1° DOSE;252118
SUD MENNUCCI;1° DOSE;6866
SOROCABA;1° DOSE;650270
SOCORRO;1° DOSE;36892
SILVEIRAS;1° DOSE;5803
SEVERÍNIA;1° DOSE;13627
SETE BARRAS;1° DOSE;11890
SERTÃOZINHO;1° DOSE;113093
SERRANA;1° DOSE;45360
SERRA NEGRA;1° DOSE;26250
SERRA AZUL;1° DOSE;13139
SEBASTIANÓPOLIS DO SUL;1° DOSE;3188
SARUTAIÁ;1° DOSE;3507
SARAPUÍ;1° DOSE;9449
SÃO VICENTE;1° DOSE;310164
SÃO SIMÃO;1° DOSE;12844
SÃO SEBASTIÃO DA GRAMA;1° DOSE;9851
SÃO SEBASTIÃO;1° DOSE;82275
SÃO ROQUE;1° DOSE;80472
SÃO PEDRO DO TURVO;1° DOSE;6715
SÃO PEDRO;1° DOSE;33475
SÃO PAULO;1° DOSE;11764816
SÃO MIGUEL ARCANJO;1° DOSE;29780
SÃO MANUEL;1° DOSE;33411
SÃO LUIZ DO PARAITINGA;1° DOSE;10296
SÃO LOURENÇO DA SERRA;1° DOSE;14083
SÃO JOSÉ DOS CAMPOS;1° DOSE;641658
SÃO JOSÉ DO RIO PRETO;1° DOSE;435548
SÃO JOSÉ DO RIO PARDO;1° DOSE;49700
SÃO JOSÉ DO BARREIRO;1° DOSE;3759
SÃO JOSÉ DA BELA VISTA;1° DOSE;6846
SÃO JOAQUIM DA BARRA;1° DOSE;43184
SÃO JOÃO DO PAU D'ALHO;1° DOSE;2073
SÃO JOÃO DE IRACEMA;1° DOSE;1737
SÃO JOÃO DAS DUAS PONTES;1° DOSE;2332
SÃO JOÃO DA BOA VISTA;1° DOSE;85118
SÃO FRANCISCO;1° DOSE;2581
SÃO CARLOS;1° DOSE;232756
SÃO CAETANO DO SUL;1° DOSE;146950
SÃO BERNARDO DO CAMPO;1° DOSE;731644
SÃO BENTO DO SAPUCAÍ;1° DOSE;10887
SANTOS;1° DOSE;409528
SANTÓPOLIS DO AGUAPEÍ;1° DOSE;3466
SANTO EXPEDITO;1° DOSE;2784
SANTO ANTÔNIO DO PINHAL;1° DOSE;6710
SANTO ANTÔNIO DO JARDIM;1° DOSE;5631
SANTO ANTÔNIO DO ARACANGUÁ;1° DOSE;7293
SANTO ANTÔNIO DE POSSE;1° DOSE;21313
SANTO ANTÔNIO DA ALEGRIA;1° DOSE;6595
SANTO ANDRÉ;1° DOSE;641961
SANTO ANASTÁCIO;1° DOSE;16776
SANTANA DE PARNAÍBA;1° DOSE;140206
SANTANA DA PONTE PENSA;1° DOSE;1435
SANTA SALETE;1° DOSE;1585
SANTA ROSA DE VITERBO;1° DOSE;22226
SANTA RITA DO PASSA QUATRO;1° DOSE;24135
SANTA RITA D'OESTE;1° DOSE;2491
SANTA MERCEDES;1° DOSE;2905
SANTA MARIA DA SERRA;1° DOSE;5183
SANTA LÚCIA;1° DOSE;6857
SANTA ISABEL;1° DOSE;50385
SANTA GERTRUDES;1° DOSE;21222
SANTA FÉ DO SUL;1° DOSE;31839
SANTA ERNESTINA;1° DOSE;5365
SANTA CRUZ DO RIO PARDO;1° DOSE;43237
SANTA CRUZ DAS PALMEIRAS;1° DOSE;26548
SANTA CRUZ DA ESPERANÇA;1° DOSE;1966
SANTA CRUZ DA CONCEIÇÃO;1° DOSE;4067
SANTA CLARA D'OESTE;1° DOSE;2255
SANTA BRANCA;1° DOSE;12442
SANTA BÁRBARA D'OESTE;1° DOSE;162214
SANTA ALBERTINA;1° DOSE;5735
SANTA ADÉLIA;1° DOSE;12839
SANDOVALINA;1° DOSE;3477
SALTO GRANDE;1° DOSE;7995
SALTO DE PIRAPORA;1° DOSE;39855
SALTO;1° DOSE;110727
SALTINHO;1° DOSE;7678
SALMOURÃO;1° DOSE;4396
SALESÓPOLIS;1° DOSE;16011
SALES OLIVEIRA;1° DOSE;10264
SALES;1° DOSE;5783
SAGRES;1° DOSE;2237
SABINO;1° DOSE;4976
RUBINÉIA;1° DOSE;3169
RUBIÁCEA;1° DOSE;2679
ROSEIRA;1° DOSE;9472
ROSANA;1° DOSE;15643
RIVERSUL;1° DOSE;5399
RIOLÂNDIA;1° DOSE;10648
RIO GRANDE DA SERRA;1° DOSE;37798
RIO DAS PEDRAS;1° DOSE;28208
RIO CLARO;1° DOSE;185390
RINÓPOLIS;1° DOSE;8245
RINCÃO;1° DOSE;8549
RIFAINA;1° DOSE;3934
RIBEIRÃO PRETO;1° DOSE;608448
RIBEIRÃO PIRES;1° DOSE;104407
RIBEIRÃO GRANDE;1° DOSE;7424
RIBEIRÃO DOS ÍNDIOS;1° DOSE;1980
RIBEIRÃO DO SUL;1° DOSE;4307
RIBEIRÃO CORRENTE;1° DOSE;4486
RIBEIRÃO BRANCO;1° DOSE;16793
RIBEIRÃO BONITO;1° DOSE;10671
RIBEIRA;1° DOSE;3209
RESTINGA;1° DOSE;6577
REGISTRO;1° DOSE;55799
REGINÓPOLIS;1° DOSE;8752
REGENTE FEIJÓ;1° DOSE;18128
REDENÇÃO DA SERRA;1° DOSE;3819
RANCHARIA;1° DOSE;26848
RAFARD;1° DOSE;8459
QUINTANA;1° DOSE;6082
QUELUZ;1° DOSE;8953
QUEIROZ;1° DOSE;3173
QUATÁ;1° DOSE;12162
QUADRA;1° DOSE;3519
PROMISSÃO;1° DOSE;31775
PRESIDENTE VENCESLAU;1° DOSE;32017
PRESIDENTE PRUDENTE;1° DOSE;208319
